Test Case ID,DateTime,Duration (sec),Input Address,Actual Returned Address,Latitude,Longitude,PCode,Result Format OK?,Missing Fields,Error Type (if any),Exception/Traceback,Test Outcome,Notes,
TC_0025,8/8/2025 18:34,0.064,ဂျန်းရှင်းစီးတီးရှော့ပင်းမောလ်၊ ပန်းဘဲတန်းမြို့နယ်၊ ရန်ကုန်မြို့,ပန်းဘဲတန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7729671,96.1536927,MMR013034,All fields present,None,No error,,Sanity check: Pass,,
TC_0026,8/8/2025 18:34,0.066,စ-၅၊ စမ်းချောင်းလမ်း၊ စမ်းချောင်းမြို့နယ်၊ ရန်ကုန်မြို့,စမ်းချောင်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7994529,96.1311779,MMR013039,All fields present,None,No error,,Sanity check: Pass,,
TC_0027,8/8/2025 18:34,0.064,အမှတ် ၂၉၃/၂၉၅ ၊ အနော်ရထာလမ်း (၂၇ လမ်း နှင့် ကွန်ဇဒန်လမ်းကြား)၊ ပန်းဘဲတန်းမြို့နယ်၊ ရန်ကုန်မြို့,ပန်းဘဲတန်း၊ ရန်ကုန်(အနောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7729671,96.1536927,MMR013034,All fields present,None,No error,,Sanity check: Pass,,
TC_0028,8/8/2025 18:34,0.066,အမှတ်(၄၉)၊ ဗိုလ်ချုပ်လမ်း၊ အုန်းပင်စုရပ်ကွက်၊ တွံတေးမြို့,တွံတေး၊ ရန်ကုန်(တောင်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.7120919,95.9383291,MMR013027701,All fields present,None,No error,,Sanity check: Pass,,
TC_0029,8/8/2025 18:34,0.063,အမှတ် ၆၈၄၊ ဦးဖိုးလှိုင်လမ်း ၊၁၀၈ရပ်ကွက်၊ အရှေ့ဒဂုံ၊ ရန်ကုန်မြို့,မန်ကန်၊ မက်မန်းခရိုင်၊ ရှမ်းပြည်နယ် (မြောက်),22.5416533,98.6662469,MMR015005702,All fields present,None,No error,,Sanity check: Pass,,
TC_0030,8/8/2025 18:34,0.063,အမှတ်(၂၆၃) ၊စိန်ပန်းမြိုင်လမ်း၊ (ပုသိမ်-ညောင်တုန်းလမ်း)၊ (၇)ရပ်ကွက်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်မြို့,လှိုင်သာယာ၊ ရန်ကုန်(မြောက်ပိုင်း)၊ ရန်ကုန်တိုင်းဒေသကြီး,16.8819286,96.0573302,MMR013008,All fields present,None,No error,,Sanity check: Pass,,
TC_0031,8/8/2025 18:34,0.066,မြန်မာ့ဆက်သွယ်ရေးလုပ်ငန်း၊ တိုင်းဒေသကြီးမန်နေဂျာရုံး၊ (၂၅)လမ်း၊လမ်း၈၀နှင့် ၈၁လမ်းကြား ၊ အောင်မြေသာဇံမြို့နယ်၊ မန္တလေးမြို့,အောင်မြေသာစံ၊ မန္တလေးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,22.0001933,96.0944003,MMR010001,All fields present,None,No error,,Sanity check: Pass,,
TC_0032,8/8/2025 18:34,0.066,ပြင်ဦးလွင်အိတ်ချိန်းဝင်း၊ မြို့ပါတ်လမ်းနှင့်စိုက်ပျိုးရေးလမ်းထောင့် ၊ ရပ်ကွက်ကြီး ၆ ၊ ပြင်ဦးလွင်မြို့။,ပြင်ဦးလွင်၊ ပြင်ဦးလွင်ခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,22.0391773,96.471658,MMR010008701,All fields present,None,No error,,Sanity check: Pass,,
TC_0033,8/8/2025 18:34,0.062,ညောင်ဦးစာတိုက်ဝင်း၊ အနော်ရထာလမ်း၊ သီရိပစ္ဆရာတိုးချဲ့(၄)ရပ်ကွက်၊ ညောင်ဦးမြို့,ညောင်ဦး၊ ညောင်ဦးခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,21.177252,94.9247074,MMR010022701,All fields present,None,No error,,Sanity check: Pass,,
TC_0034,8/8/2025 18:34,0.013,ရွှေမြင်တင်ဘုရားတောင်ဘက်၊ မိတ္ထီလာအိတ်ချိန်း၀င်း၊ မိတ္ထီလာမြို့,အရှေ့ပြင်ရပ်ကွက်၊ မိတ္ထီလာ၊ မိတ္ထီလာ၊ မိတ္ထီလာခရိုင်၊ မန္တလေးတိုင်းဒေသကြီး,20.8765931,95.8601611,MMR010028701,All fields present,None,No error,,Sanity check: Pass,,
